row_id,cv_iter,fold
12,0,0
30,0,0
32,0,0
33,0,0
34,0,0
45,0,0
48,0,0
72,0,0
73,0,0
74,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
85,0,0
87,0,0
88,0,0
91,0,0
92,0,0
94,0,0
96,0,0
97,0,0
99,0,0
100,0,0
103,0,0
105,0,0
106,0,0
107,0,0
108,0,0
111,0,0
113,0,0
114,0,0
117,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
138,0,0
139,0,0
141,0,0
143,0,0
144,0,0
146,0,0
147,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
172,0,0
174,0,0
175,0,0
180,0,0
185,0,0
190,0,0
192,0,0
198,0,0
214,0,0
221,0,0
229,0,0
248,0,0
249,0,0
250,0,0
251,0,0
262,0,0
267,0,0
268,0,0
269,0,0
276,0,0
277,0,0
280,0,0
281,0,0
286,0,0
287,0,0
288,0,0
289,0,0
294,0,0
307,0,0
308,0,0
309,0,0
310,0,0
313,0,0
319,0,0
320,0,0
322,0,0
323,0,0
327,0,0
345,0,0
356,0,0
359,0,0
365,0,0
373,0,0
376,0,0
377,0,0
379,0,0
383,0,0
384,0,0
393,0,0
404,0,0
405,0,0
425,0,0
428,0,0
429,0,0
441,0,0
443,0,0
463,0,0
464,0,0
468,0,0
470,0,0
471,0,0
488,0,0
498,0,0
501,0,0
503,0,0
512,0,0
514,0,0
518,0,0
531,0,0
532,0,0
543,0,0
544,0,0
555,0,0
557,0,0
560,0,0
562,0,0
563,0,0
564,0,0
574,0,0
575,0,0
578,0,0
579,0,0
580,0,0
588,0,0
590,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
605,0,0
609,0,0
622,0,0
624,0,0
625,0,0
629,0,0
630,0,0
639,0,0
640,0,0
645,0,0
649,0,0
658,0,0
659,0,0
660,0,0
661,0,0
664,0,0
666,0,0
668,0,0
673,0,0
680,0,0
681,0,0
682,0,0
684,0,0
708,0,0
709,0,0
715,0,0
716,0,0
717,0,0
718,0,0
721,0,0
725,0,0
728,0,0
733,0,0
737,0,0
742,0,0
750,0,0
752,0,0
755,0,0
762,0,0
763,0,0
772,0,0
776,0,0
778,0,0
782,0,0
786,0,0
792,0,0
793,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
819,0,0
824,0,0
826,0,0
831,0,0
836,0,0
838,0,0
839,0,0
840,0,0
841,0,0
848,0,0
859,0,0
861,0,0
862,0,0
866,0,0
868,0,0
876,0,0
886,0,0
888,0,0
890,0,0
891,0,0
892,0,0
893,0,0
895,0,0
902,0,0
903,0,0
905,0,0
910,0,0
913,0,0
919,0,0
925,0,0
937,0,0
940,0,0
941,0,0
946,0,0
947,0,0
948,0,0
957,0,0
966,0,0
967,0,0
969,0,0
970,0,0
971,0,0
980,0,0
984,0,0
995,0,0
1006,0,0
1019,0,0
1021,0,0
1025,0,0
1026,0,0
1027,0,0
1035,0,0
1054,0,0
1055,0,0
1064,0,0
1065,0,0
1066,0,0
1067,0,0
1078,0,0
1097,0,0
1099,0,0
1100,0,0
1112,0,0
1114,0,0
1123,0,0
1124,0,0
1125,0,0
1126,0,0
1127,0,0
1132,0,0
1133,0,0
1135,0,0
1149,0,0
1177,0,0
1202,0,0
1213,0,0
1225,0,0
1236,0,0
1237,0,0
1239,0,0
1240,0,0
1259,0,0
1260,0,0
1261,0,0
1262,0,0
1279,0,0
1281,0,0
1284,0,0
1285,0,0
1287,0,0
1288,0,0
1294,0,0
1297,0,0
1301,0,0
1302,0,0
1303,0,0
1304,0,0
1305,0,0
1311,0,0
1314,0,0
1318,0,0
1331,0,0
1334,0,0
1337,0,0
1338,0,0
1347,0,0
1355,0,0
1359,0,0
1383,0,0
1389,0,0
1390,0,0
1398,0,0
1399,0,0
1409,0,0
1414,0,0
1415,0,0
1416,0,0
1422,0,0
1424,0,0
1439,0,0
1441,0,0
1472,0,0
1473,0,0
1474,0,0
1478,0,0
1509,0,0
1510,0,0
1521,0,0
1527,0,0
1532,0,0
1533,0,0
1539,0,0
1546,0,0
1554,0,0
1566,0,0
1569,0,0
1571,0,0
1586,0,0
1587,0,0
1592,0,0
1598,0,0
1603,0,0
1605,0,0
1607,0,0
1609,0,0
1624,0,0
1625,0,0
1629,0,0
1631,0,0
1634,0,0
1640,0,0
1662,0,0
1663,0,0
1664,0,0
1665,0,0
1666,0,0
1682,0,0
1683,0,0
1693,0,0
1700,0,0
1701,0,0
1708,0,0
1709,0,0
1714,0,0
1722,0,0
1732,0,0
1733,0,0
1750,0,0
1753,0,0
1754,0,0
1755,0,0
1757,0,0
1759,0,0
1760,0,0
1761,0,0
1765,0,0
1767,0,0
1769,0,0
1781,0,0
1785,0,0
1790,0,0
1792,0,0
1793,0,0
1794,0,0
1795,0,0
1796,0,0
1797,0,0
1798,0,0
1799,0,0
1800,0,0
1801,0,0
1810,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1831,0,0
1832,0,0
1836,0,0
1837,0,0
1839,0,0
1840,0,0
1864,0,0
1867,0,0
1868,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1880,0,0
1883,0,0
1885,0,0
1889,0,0
1890,0,0
1905,0,0
1907,0,0
1908,0,0
1920,0,0
1928,0,0
1929,0,0
1936,0,0
1947,0,0
1949,0,0
1950,0,0
1957,0,0
1958,0,0
1962,0,0
1979,0,0
1982,0,0
1985,0,0
1986,0,0
1992,0,0
2039,0,0
2053,0,0
2054,0,0
2055,0,0
2078,0,0
2090,0,0
2093,0,0
2094,0,0
2098,0,0
2099,0,0
2103,0,0
2104,0,0
2105,0,0
2118,0,0
2121,0,0
2125,0,0
2126,0,0
2127,0,0
2139,0,0
2142,0,0
2148,0,0
2173,0,0
2174,0,0
2178,0,0
2181,0,0
2182,0,0
2183,0,0
2191,0,0
2195,0,0
2210,0,0
2230,0,0
2233,0,0
2235,0,0
2236,0,0
2239,0,0
2240,0,0
2243,0,0
2244,0,0
2245,0,0
2254,0,0
2264,0,0
2279,0,0
2280,0,0
2292,0,0
2297,0,0
2299,0,0
2332,0,0
2339,0,0
2340,0,0
2347,0,0
2349,0,0
2350,0,0
2356,0,0
2358,0,0
2365,0,0
2374,0,0
2387,0,0
2389,0,0
2393,0,0
2395,0,0
2407,0,0
2430,0,0
2431,0,0
2432,0,0
2439,0,0
2440,0,0
2453,0,0
2476,0,0
2479,0,0
2480,0,0
2483,0,0
2484,0,0
2485,0,0
2492,0,0
2493,0,0
2494,0,0
2499,0,0
2503,0,0
2506,0,0
2509,0,0
2511,0,0
2512,0,0
2515,0,0
2523,0,0
2530,0,0
2565,0,0
2570,0,0
2574,0,0
2575,0,0
2577,0,0
2579,0,0
2584,0,0
2585,0,0
2586,0,0
2587,0,0
2593,0,0
2604,0,0
2609,0,0
2617,0,0
2642,0,0
2644,0,0
2645,0,0
2646,0,0
2647,0,0
2648,0,0
2649,0,0
2650,0,0
2651,0,0
2653,0,0
2663,0,0
2665,0,0
2673,0,0
2675,0,0
2680,0,0
2713,0,0
2714,0,0
2718,0,0
2720,0,0
2725,0,0
2728,0,0
2729,0,0
2763,0,0
2770,0,0
2779,0,0
2780,0,0
2781,0,0
2782,0,0
2783,0,0
2784,0,0
2785,0,0
2787,0,0
2801,0,0
2806,0,0
2807,0,0
2809,0,0
2810,0,0
2824,0,0
2825,0,0
2831,0,0
2853,0,0
2858,0,0
2860,0,0
2861,0,0
2865,0,0
2871,0,0
2872,0,0
2873,0,0
2879,0,0
2880,0,0
2886,0,0
2887,0,0
2891,0,0
2892,0,0
2896,0,0
2905,0,0
2924,0,0
2939,0,0
2940,0,0
2956,0,0
2957,0,0
2958,0,0
2964,0,0
2969,0,0
2971,0,0
3000,0,0
3001,0,0
3002,0,0
3003,0,0
3009,0,0
3020,0,0
3025,0,0
3026,0,0
3035,0,0
3036,0,0
3037,0,0
3038,0,0
3039,0,0
3046,0,0
3047,0,0
3050,0,0
3060,0,0
3061,0,0
3062,0,0
3072,0,0
3073,0,0
3074,0,0
3079,0,0
3083,0,0
3085,0,0
3086,0,0
3087,0,0
3091,0,0
3099,0,0
3100,0,0
3128,0,0
3129,0,0
3130,0,0
3133,0,0
3140,0,0
3142,0,0
3143,0,0
3150,0,0
3151,0,0
3152,0,0
3153,0,0
3156,0,0
3168,0,0
3173,0,0
3185,0,0
3189,0,0
3190,0,0
3191,0,0
3192,0,0
3194,0,0
3195,0,0
3206,0,0
3207,0,0
3208,0,0
3250,0,0
3255,0,0
3259,0,0
3260,0,0
3263,0,0
3265,0,0
3274,0,0
3275,0,0
3276,0,0
3277,0,0
3281,0,0
3282,0,0
3283,0,0
3285,0,0
3303,0,0
3319,0,0
3320,0,0
3321,0,0
3327,0,0
3328,0,0
3329,0,0
3341,0,0
3351,0,0
3354,0,0
3397,0,0
3399,0,0
3404,0,0
3405,0,0
3406,0,0
3408,0,0
3409,0,0
3411,0,0
3412,0,0
3413,0,0
3419,0,0
3420,0,0
3421,0,0
3429,0,0
3438,0,0
3439,0,0
3441,0,0
3449,0,0
3450,0,0
3455,0,0
3456,0,0
3465,0,0
3483,0,0
3489,0,0
3494,0,0
3495,0,0
3500,0,0
3514,0,0
3529,0,0
3530,0,0
3537,0,0
3541,0,0
3545,0,0
3546,0,0
3549,0,0
3573,0,0
3574,0,0
3575,0,0
3576,0,0
3577,0,0
3578,0,0
3579,0,0
3580,0,0
3581,0,0
