SMILES,HLM CLint,MLM CLint,row_id,split
CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,1.7589118923979734,2.2631624649622166,0,train
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,2.2079035303860515,3.13100881279064,1,val
CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,1.2988530764097066,1.81424759573192,2,train
COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,1.2013971243204515,1.826722520168992,3,train
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,1.2041199826559248,2.225309281725863,4,train
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,2.3879234669734366,1.8959747323590648,5,train
CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,0.9242792860618816,2.5352941200427703,6,train
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,1.1818435879447726,1.9232440186302764,7,train
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,1.2988530764097066,2.5276299008713385,8,train
CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,1.0374264979406236,2.257678574869185,9,train
CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,1.2201080880400552,2.3998467127129226,10,train
O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,1.0128372247051722,3.3107994838343924,11,train
CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,1.0043213737826426,1.7466341989375789,12,train
O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,1.7435097647284297,2.819083075743703,13,train
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,2.2415464805965484,1.989894563718773,14,val
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,1.2253092817258628,2.8304603500309677,15,train
NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,2.094121595840561,2.6434526764861874,16,train
Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,1.0681858617461617,2.714329759745233,17,val
Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,1.0681858617461617,2.836324115706752,18,val
Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,1.6739419986340878,2.6020599913279625,19,val
CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,1.69810054562339,2.8683504996479683,20,val
Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,1.1335389083702174,2.475235222604128,21,val
Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,1.1643528557844371,2.161966616364075,22,val
Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,1.2695129442179165,2.42781057267599,23,val
CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,1.136720567156407,2.3774883833761327,24,val
