SMILES,HLM CLint,MLM CLint
CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,1.7589118923979734,2.2631624649622166
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,2.2079035303860515,3.13100881279064
CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,1.2988530764097066,1.8142475957319202
COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,1.2013971243204515,1.826722520168992
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,1.2041199826559248,2.225309281725863
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,2.3879234669734366,1.8959747323590646
CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,0.9242792860618817,2.5352941200427703
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,1.1818435879447726,1.9232440186302764
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,1.2988530764097066,2.5276299008713385
CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,1.0374264979406236,2.2576785748691846
CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,1.2201080880400552,2.3998467127129226
O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,1.0128372247051722,3.3107994838343924
CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,1.0043213737826426,1.7466341989375787
O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,1.7435097647284297,2.819083075743703
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,2.2415464805965484,1.989894563718773
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,1.2253092817258628,2.8304603500309673
NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,2.0941215958405612,2.6434526764861874
